,text,topic
10,"This review is dedicated to the late Keith Moon and John Entwistle.<br /><br />The Original Drum and Bass.<br /><br />There seems to be very little early Who footage around these days, if there is more then lets be 'aving it, now-a-days it tends to be of a very different kind of Who altogether, a parody, a shadow of their (much) better years. To be fair, not one of them has to prove anything to anyone anymore, they've earned their respect and with overtime.<br /><br />This concert footage for me is one of their best. To command an audience of around a 400,000 plus strong crowed takes skill, charisma, wit and a whole lot of bloody good music.<br /><br />We all know of the other acts on the bill, The Doors (their last ever show weeks before Jim Morrison died), Moody Blues, Hendrix, Taste, Free and many more. The point being that whoever were there it was The Who that the majority had come to see. This show was one year after the Great Hippie Fest of the 1960's; Woodstock. The film and record had come out and so had The Who's greatest work to date, Tommy. The ever hungry crowd wanted a taste, to be able to experience their own unique event, to be able to ""Grove and Love"" in the knowledge that this gig was their own. To do this you needed the best of what Rock 'n Roll had to throw at the hungrily baited crowd.<br /><br />At two 'o clock in the morning in late August 1970 the M.C. announces, ""Ladies and Gentlemen, a small Rock 'n Roll band from Shepherds Bush London, the 'OO"".<br /><br />John Entwistle's body suit is of black leather, on the front is the out line of a human skeleton from neck to toe, Roger dressed in his traditional stage outfit of long tassel's and long flowing hair, Keith in a white t-shirt and jeans, as Pete had his white boiler suit and Doc Martins that he'd preferred to wear.<br /><br />The Who never stopped their onslaught of High Energy Rock for over two hours, performing theirs and other artists' greatest tracks such as Young Man Blues, Shaking' all Over, and then as on queue, Keith baiting the crowed to ""Shut up, it's a bleeding Opera"" with Tommy, the Rock Opera. The crowed went wild. This is what they had come to hear, and the Who didn't disappoint, straight into Overture and never coming up for air until the final note of ""Tommy can you Hear me?"" Amazing.<br /><br />To capture a show of this magnitude of a band of this stature at their peak at a Festival that was to be the last of its kind anywhere in the World was a fantastic piece of Cinematic History.<br /><br />The English DVD only comes in a soundtrack of English/Linear PCM Stereo, were as in the States, I think, you can get it with 5.1 at least, ""Check local press for details"" on that, okay.<br /><br />The duration of the DVD is 85 minutes with no extras, which is a disappointment. Yes, for a slice of Rock and Festival History this DVD would send you in a nostalgia trip down memory lane the moment you press play, for some of the best Who concert footage as it was meant to be, Live, Raw and in your Face!<br /><br />I would have given this DVD ten if it wasn't for the lack of 5.1, and some extras would have been nice.<br /><br />Thanks Roger, Pete, John and Keith.",movie
11,The manager at this Cracker Barrel is extremely rude. I can't explain anymore how dissatisfied my experience was at this location without keeping my language clean. She was being rude to Mathias who was doing his job by taking names on the waiting list when she decided to embarrass him in front of everyone for being slow. My wife confronted her about the situation and she then proceeded to turn her hostile demeanor towards my family. She doesn't need to be in that position. I strongly suggest a demotion or even termination. Absolutely absurd. We come here every Sunday after church and Jennifer ruined our experience and our meal.,restaurant
12,"Probably because this is Columbia's first film in color, the colors look different specially in the indoor scenes. They seem to be stronger, sharper and the result is a bit unrealistic, but very pleasing. Randolph Scott is the sheriff, a good guy but the real star of the movie is a very young Glenn Ford, who is an outlaw that wants to change. Evelyn Keyes is the woman that starts falling for Ford and Claire Trevor is the Countess that runs the saloon. There is a funny character called Nitro that does not think twice before blowing it. I particularly enjoyed two moments of the film, one when there is a tremendous horse stampede and you see thousands of horses, there was no computer to help at that time, so I presume they must have gathered all those horses, no easy task. Another moment is the final shootout, technically very good. There is also quite a fistfight. Seeing this western made in 1943 with such great action scenes, makes you come to a sad conclusion: They don't make them anymore. Would they be able to in case they wanted? I have my doubts.",movie
13,This book is a life lesson for all who read or hear the words. It's great for both young and old. It makes a super book for Grandkids and one you will want to keep for yourself. It's a breath of fresh air.,book
14,"This was our last meal outside before Covid, and we still think about it. They have such delicious cocktails and Thai dishes. A lot of the dishes I haven't seen before which made the experience so much better. 

My favorite was the crab curry!! It was so creamy and rich (with a slight kick). It came with delicious rice noodles that perfectly soaked up all the curry flavors. This is a dish I would get every time. 

The pomelo salad was super interesting. I've never seen this on any menu before, and I'm really glad we got it. We was perfectly tart, spicy, and refreshing. 

Honestly, you just can't go wrong. The pork belly platter was delicious. Again, the cocktails were super tasty. I'm just hoping to come back here..one day.",restaurant
15,"The descriptions in this book are marvelous! A wonderful story of two sisters brought up by an eccentric aunt. The writing is so still, so wonderful, that i found myself feeling the mist off the lake, and seeing the stars out at night. A truly beautiful book!",book
16,"Eberly has it all! Courteous staff, modern aesthetic, and delicious food! 

When you first walk in you can't help but notice how cute that place is! We were a group traveling with luggage and they were so accommodating to let us store our bags in the back of the restaurant - so nice! 

They had a great bar where we waited for our seats and had many cute, original cocktails and many fresh-squeezed juices. 

Onto food, this may have been my favorite dish I had while vacationing in Austin. Shakshouka was described by our waitress as ""a saucy, baked egg dish"" and that's exactly what it was. The sauce was spicy and flavorful but the spice was not overpowering. The eggs were cooked perfectly with a runny yolk and it was served with fresh, crunchy sourdough bread. I will definitely crave this! 

Bravo, Eberly! I will definitely see you again for my next Austin adventure!",restaurant
17,I first came across DTF in Singapore. What a wonderful surprise that they are now based all over the west coast. This place has the best soup dumplings and my other favorite is the garlic beans.  Wonderful!,restaurant
18,"Liongate has yet to prove itself. Every single movie from lionsgate has been abysmal. i've tried and tried to give them more opportunities and they just keep slapping me over and over again. And Cabin Fever is definitely no exception.<br /><br />I couldn't even pay attention to most of this movie it was so frustrating and bad.<br /><br />here's the plot. Guy cuts up dead dog for some reason. Gets infected by random virus, transfers it to kids at a camp, kids start to get infected and die, town finds out about it and rather than help them, kills them. then the water is infected and everyone dies. the end.<br /><br />Seriously, that's the whole movie.<br /><br />all the characters are completely retarded, you don't care for any of them, and the one kid should have stuck with boy meets world. Me and my friend found that talking about how fat and bitchy our one classmate was to be far more enjoyable than paying attention to this movie. We did manage to make it all the way to the end while screaming bulls$@t, because this film will make you do that.<br /><br />and i'm still confused by the random slow motion karate moves of the one random kid and how apparently everybody out in the country is completely retarded and hickish. And again, why did this dog attack the girl? why did the kid the hicks were trying to kill sit in a chair waiting for them to kill him? that was part of the two of their's plan? wow. best plan ever. i cannot believe this movie got a theatrical release. i could barely stomach the DVD, let alone have to sit in a theater not moving for an hour and a half. It wasn't scary, or funny, or cool, or anything. it's just a waste of 90 minutes that you could be using to...i don't know, plant a tree or something. it's more productive than this piece of garbage. The acting, special effects, and script are a joke. don't ever pick this up.<br /><br />Cabin fever gets one nasty leg shaving scene, out of 10",movie
19,"Overall, this is a pretty bad film. But for $5 at PathMark, it wasn't a total waste.<br /><br />The whole scenario has to do with a guy who is with this lady infected with snakes, supposedly from a magic curse. The actors/actresses aren't names that are big (even though some look like from TV shows), so I won't do my usual Troy McClure thing.<br /><br />For awhile, the film holds your interest as the couple hop a train and travel to L.A. to see a shaman to undo the curse. There's a bit of other plots going on too; like two ladies smuggling drugs.<br /><br />But the last 20 minutes turn out to be a total let down. As violent and gory as the whole film is, the grand finale is just totally computer animated.<br /><br />I saw the unrated version which had tons of language, gore, blood, violence, everything! The bonus features were OK.<br /><br />Overall Grade: D-",movie
20,"A Tree Grows in Brooklyn is a timeless classic. This is a book that warrants more than one reading, it is a keeper, with a special place of it's own. The metaphor of the tree that kept surviving is highly appropriate and mirrors the life of the novel's heroine, Francie Nolan. This tree, not unlike Francie herself, has been subject to harsh conditions, but it continued to grow and bloom. Both the tree and Francie are able to rise above the adversity and thrive.The characters are lively and real. The main character, Francie, who is articulate and bright, desperately seeks affection from her mother. Katie Nolan, is a mother that can not recripricate that love to her daughter. Instead, Katie directs her energy and affection to her son. Neeley. Francie is drawn to her father, a local drunkard, who pays her much attention. The reader expereinces the pain of growing and reconciling her relationships with her family.Francie Nolan is a survivor. The reader will follow Francie as she faces numerous challenges and diversions in life. We watch as she learns and becomes resourceful. We struggle with her during the hard and traumatic times in her life. Most importantly, we see her resiliancy and perserverance shine through.A Tree Grows in Brooklyn is a novel that should be read more than once in a lifetime. It's poignant message speaks volumes to all readers. I encourage you to read this book and share it with others.",book
21,"Supplies the essentials of chi running. I have found it to be a useful book, especially in conjunction with the dvd on chi running.",book
22,"For a movie I was really looking forward to, I was very disappointed. I had no expectations of this being another Amadeus, but did expect a more significant portrayal of Beethovens last years.<br /><br />The performance by Ed Harris was superb, but the story line was so weak that the film simply moved from one dreary scene to the next with no continuity.<br /><br />The only enjoyable part of the film for me was the performance of the 9th, and from that point on I could quite happily have walked out without finishing.<br /><br />I left feeling very dissatisfied and still have the feeling that something important was missed.",movie
23,"I saw this film from 1918 recently at our local Helsinkian film archive. It seems that the Danish Film Institute has reconstructed it in 2006 to celebrate the 100th anniversary of Nordisk filmcompany, which was one of the largest in the world in the early 20th century. I believe there are several copies with English translations circulating around Europe at the moment. <br /><br />I found the film fascinating and the trip to Mars well thought out. The plot line is certainly original, but I really don't want to reveal any more of it at the moment, as now the danger of spoiling things for you really exists ;-).<br /><br />The film is also available on DVD, query the Danish Film Institute (Det Danske Filminstitut) web pages at dfi.dk with 'Himmelskibet' to get more info.",movie
24,"Great food and great service. What more can you ask for? 
Regarding COVID, safe and clean transaction. No worries!",restaurant
25,"Great coffee, breakfasts, and service. Don't let the plain interior or location scare you away - you'll be pleased. 

Lunches are good too. The onion rings are huge and the hand made milk shakes are thick and delicious.",restaurant
26,This book has helped me to understand and deal with the issues my husband is experiencing with a diagnosis of brain injury/AD. My main interest was the sections on communication; I just couldn't understand why my husband didn't understand me or why I couldn't understand him. By reading this book it has given me the insight as to what he is going through and how I can be more helpful to him. This a must read for anybody who is going through these illnesses. This book is going to be used extensively as the disease progresses...I think anyone going through this will find the information most helpful.,book
27,I was really disappointed that I had to wait for twenty minutes and pay $12 for this meager little meal.,restaurant
28,"Since Siskel's death and Ebert's absence the show has been left in the incapable hands of Richard Roeper. Roeper is not a film critic he just criticizes anything he doesn't like personally i.e. films with country music get panned because ""I don't like country music!"" and children's movies get a standard ""Don't see it now, wait until it comes out on DVD and rent it for your kids!"" Roeper may well be an idiot savant, but in some other field. The weekly guests 'sitting-in' for Ebert fare better, but who wants to pick a daisy in the midst of a cow pat? All that said, it IS the only show in town and that alone makes it worth watching. As for Roger Ebert, if Stephen Hawking can talk, so can you! It's your mind and thoughts we long for. Do whatever is necessary to get that usurper off his self-declared throne.",movie
29,"482 illustrations of old patterns, black and white, of the nostalgic yesteryear, it is a delightful historical exercise in quilt making, old-fashioned work in the not-so-modern way. A person making her first quilt may have some difficulty, but it can be managed. Information on planning the quilt, calculating the number of blocks needed to fit a bed, pattern selection for a given room, and buying the materials are all here, explained in detail. This may not be the book for those who like only contemporary patterns. All in all, this is a classic!",book
30,"An insane assault on viewers senses. This is a mish-mash of assorted Hindi and English movies - poorly done. The name carries over from a 70s' multi star cast, which the 2002 version also boasts of. The story is taken from the 70s' Sunil Dutt/Reena Roy starrer - ""Nagin"" and visual effects taken (a horrible attempt) from The Matrix, Terminator 2 and Mission Impossible II.<br /><br />Set in a college environment (Sunil Shetty, Akshaye Kumar, Manisha - college kids!!!???!!), Manisha Koirala is the victim, who mistakes a fatal assault on her by two students as a collective effort on the part of our heros. As it turns out Manisha is a Cobra (Nag) snake reborn as a girl in this life and her mate from the previous life, now a super powerful-all-and-any-shape-assuming (Ichadhari Nag) - Munish Kohli, is out looking for her in this life. Manisha appeals to him to avenge her violation and murder.<br /><br />So begins the mad killing spree, where the avenging lover starts singling each male of the group, with increasing powers and tricks with successive attempts. The effects are extremely cheap, with computer generated skeletons, morphing bodies and motorcycle stunts completing the farce.<br /><br />Carry over from Nagin includes Raj Babbar playing a catholic priest who provides temporary relief to our boys with a more ""Religiously correct"" multi-religion locket (the original Nagin only had an ""Om"") . Sunny Deol plays Manisha's love interest in her current life and the ultimate saviour against the all powerful Munish Kohli.<br /><br />Music and songs are below average.<br /><br />Avoid if you don't fancy cheap thrills.",movie
31,"This movie was kind of interesting...I had to watch it for a college class about India, however the synopsis tells you this movie is about one thing when it doesn't really contain much cold, hard information on those details. It is not really true to the synopsis until the very end where they sloppily try to tie all the elements together. The gore factor is superb, however. Even right at the very beginning, you want to look away because the gore is pretty intense. Only watch this movie if you want to see some cool gore, because the plot is thin and will make you sad that you wasted time listening to it. I've seen rumors on other websites about this movie being based on true events, however you can not find any information about it online...so basically this movie was a waste of time to watch.",movie
32,"Being the first Jane Austen novel which I have ever read, I was very pleasantly surprised to find that Pride and Prejudice was nothing at all as I had expected. Full of wit and humor, as well as a romance both entirely innocent and mature (a virtue sadly lacking in much of this age's romances), Pride and Prejudice also conveys the polished skill with which Austen writes. I was most surprised to find that Austen, with her sophisticated style, was in her late teens/early twenties when she wrote this novel.I could easily go on about her style, vocabulary, and intricate sentences (I had a little trouble following her sometimes), but the main focus should always be given to the story itself. Insightful and often hilarious characterization gave texture to the story, as did the complex personalities of Elizabeth Bennet and Mr. Darcy. Mr. Bennet's off-hand remarks and Mary's deeply celebral, pompous observations on morality brightened up the scenery considerably. Jane Austen exercises expert storytelling to catch (and keep) interest until the very realistic, very satisfying, conclusion.Pride and Prejudice has earned its way onto my ""feel-good"" list of books, and I'm sure I'll be re-reading it for many years to come. Don't be discouraged by its old-fashioned front. Pride and Prejudice is one story that no one should be deprived of.Oh, and if you haven't seen the movie, go see it!",book
33,This is a known classic and stimulates the appreciation for creative writing and breaks down the boundaries our minds create as we become adults when it comes to unleashing our creativity.,book
34,"This is an ok read. It tells the story about the first European christians in a setting of Nero's Rome. Still the person descriptions are a bit too simple and shallow for my taste. It was first published at the hight of the epic novel in the last part of the 19th. century, but as said the person descriptions never go beyond the kind of Victor Hugo like characterisation. The most interesting character of the account is definitely Nero himself, I am not sure that the author intended it to be this way. It rather seems like that the account was written as a praise to Christianity.",book
35,"In downtown Portland, it is near my favorite places and was super informative and nice while I ordered a couple of gift boxes. This review is based on the chocolates and not any of the hot chocolate, but stop by for some gift for people.",restaurant
36,"This was not the best book I've ever read but it was worth my time.Although there are a few similarites between this and the fantastic Lord of the Rings trilogy, the story is original and exciting. However it tends to drag on in the beginning but the end is a cliff hanger and full of suspense. I would definately read this book. It is a must have for fantasty lovers everywhere. I can't wait until the next book in the trilogy comes out.Also Recommend: The Harry Potter series, Lord of the rings, the hobbit and the chronicles of Narnia.",book
37,"I've tried quite a few self-help regimes, including assessment.com and Meyers-Briggs. This one is better. I really liked the step-by-step approach, the encouragement, the folksy attitude and exercises. It's like a mentor in a book. I gained clarity and lost some fears in the process.",book
38,"Wow, this film had a huge impact on me, it moved me,. It is an amazing story about a girl in Cambodia who is sold into the sex trade. I can not stop thinking about the fate of the little girl named Holly. The setting of the film is realistic, The film was an eye opener, I can not imagine anyone walking away from it with out wanting to help make a change with this horrifying problem that exsists.<br /><br />The content of the film was very very moving. It was one of the best films that I have seen this year. The<br /><br />girl who plays Holly does a fantastic job with her character. Ron Livinston gives a fantastic performance. The film moved me to tears, It tells an important message that needs to be heard worldwide. Everyone should go see this film. I think this film will make a difference, I loved it!",movie
39,"Loved this place. We ordered shrimp scampi and the chicken Alfredo. Both dishes were amazing and large portions. Service was friendly, but slow. Skip the bread, it wasn't that great and not worth the calories. 

You can order wine here which was nice since you cannot get alcohol anywhere in the Magic Kingdom.

I highly recommend reservations!",restaurant
40,"From: www.BasilAndSpice.comAuthor & Book Views On A Healthy Life!Book Review: Better by Atul Gawande, MDDr. Atul Gawande, General Surgeon at Brigham and Women's Hospital--Boston, Assistant Professor at Harvard Medical School, Staff Writer for The New Yorker, and Best-Selling author of Better writes about the importance of washing hands and how to actually cut the spread of potential lethal disease. He states that approximately two million Americans pick up an infection while in the hospital. Of these, ninety thousand will die from that same infection. Possible attacks come from rotavirus, Norwalk virus, Pseudomonas bacteria, resistant Klebsiella, MRSA-- methicillin-resistant Staphylococcus aureus, and VRE-- vancomycin-resistant Enterococcus--the last two frequently causing pneumonias, wound and bloodstream infections.Admittedly, Dr. Gawande recognizes that studies show nurses and doctors do not wash their hands frequently enough, up to 50% of the time. Recalling the lesson taught by obstetrician Ignac Semmelweis, he points out the cause of childbed fever (puerperal fever) was the lack of washing hands. In 1847, 600 of 3,000 mothers delivering babies in Semmelweis's Viennese hospital, died from the bacteria Streptococcus, which leads to childbed fever. After instigating a wash up with chlorine and a nail brush for doctors and nurses, between patients, the death rate fell from 20% to 1%. Even though this procedure offered sufficient proof of success, doctors elsewhere declined to institute the hand washing. They simply could not believe that they themselves were making their patients sick.Recently, a surgeon named Jon Lloyd hit on an idea from the Save the Children program: Positive Defiance, or building upon capabilities people already have, rather than making them change their behaviors. After meeting with small groups (from kitchen worker and janitor to nurses, doctors, and even patients) in a trial Pittsburgh hospital, and instilling the staff's ideas, change was made. For example, they themselves decided where to best place new hand-gel dispensers. By empowering the employees, they worked together toward a common goal. The result at the end of one year, ""the entire hospital saw its MRSA wound infection rates drop to zero.""Dr. Gawande continues with news that The Robert Wood Johnson Foundation and the Jewish Healthcare Foundation are beginning to implement this initiative in ten more hospitals across the United States. To this point, no other idea has worked.This is an excellent book.5 Stars",book
41,"This is the worst movie I have ever seen. I was going to get up and leave at Tape 4 but I stuck it out. I now consider myself a Masochist! Afghanistan? Come on guys! Who's the idiot who forgot to hide the Sanskrit billboards? I thought the lead actor(George Calil) was particularly inept. Apart from the bad acting and over zealous camera shake, I thought using the events of 9/11 as a reason to make ""Larson the Lunatic Implodes, all over a screen near you"" disgraceful and irreverent to the victims of 9/11. Using a phone call from Larson's wife, Sarah, supposedly from one of the terrorist held planes on that day, was appalling. The camera shake didn't make me feel sick, that cold hearted stunt did.",movie
42,"I don't think people were prepared to read a book about a woman not wanting to be a good wife or a mother. Kate Chapin introdused us to something very different but very beautiful at the same time. who understands a woman better than a woman herself? I think that Chapin was able to free herself through the character Edna Potellier, and one of the reasons why this book seems so honest is because you get the feeling that somebody actually lived through this. Chapin was able to shed some light for the darkness that women lived with. The Chartacter Edna is a symbol of freedom and liberation, showing a strong and defying person,she becomes an outcast to the typical women. Edna, unlike other woman has never really been shaped to be the house wife she was supposed to be, and because of this she could never be the mother or wife she would like to be; and besides it wouldn't make sense to trun yourself as a person to yourfamily,when all youv'e ever had was freedom in your vains. When this book came out, I'm pretty sure it come out with a scream that left the norm thinking about where the good woman had gon. Many people belived that this book made a woman look very selfish and weak because she was unable to do a job that God gave the woman,the priviledge to take care of that what a woman should take care of, but I on the other hand found myself very satisfied at the end. Society has the perfect picture of a woman, so was Edna a broken woman; or was she simple just a woman with wings?",book
43,"I'd say this book was worth the $10.00. Most of what she says in her book, I have seen on the show though. It is not necessary to buy the book if you can watch the show every week. I also second what the other reviewers say about it being very basic. If your child is having a few small problems (dressing, eating), she touches on these subjects. The book doesn't go into any great detail.",book
44,"I can't believe people are looking for a plot in this film. This is Laural and Hardy. Lighten up already. These two were a riot. Their comic genius is as funny today as it was 70 years ago. Not a filthy word out of either mouth and they were able to keep audiences in stitches. Their comedy wasn't sophisticated by any stretch. If a whoopee cushion can't make you grin, there's no reason to watch any of the stuff these guys did. It was a simpler time, and people laughed at stuff that was funny without a plot. I guess it takes a simple mind to enjoy this stuff, so I qualify. Two man comedy teams don't compute, We're just too sophisticated... Aren't we fortunate?",movie
45,"Great Expectations is one of Dickens's later novels, a work of his artistic maturity. The narrative is symbolic rather than realistic. Although, as in most of Dickens and in Victorian literature in general, the plot relies heavily on coincidence, it is acceptable here because the events are true to the internal, psychological, logic of the story.After writing A Tale of Two Cities, which was unique among his novels in that it had none of his trademark humor, Dickens set out to make Great Expectations rich in comic elements. This despite, or perhaps because of, being in a depressed state of mind himself at the time. The conventional critical view is that he largely failed in this attempt, but I strongly disagree. The book is hilariously funny in parts and the main character, Pip, exhibits a characteristically British humour-in-adversity throughout his adventures. There is also the host of minor comic characters that we expect from Dickens. And he for once manages pathos without spilling over into bathos, so there are tears as well as laughter here, sometimes both at once.If you have not yet read any Dickens, this is not a bad book with which to start, although for younger readers (teens) I would recommend Hard Times or A Tale of Two Cities as their first. Great Expectations demands a mature sensibility to appreciate its symbolism and psychological depth. Perhaps because it chiefly concerns the childhood and youth of the protagonist, it is often given to young people to read and is a set text in some High School classes. This is a pity because, in its dark complexity, it is more likely to turn youngsters off, rather than onto, Dickens.",book
46,The books in this series were easily the best I ever readduring my childhood. They taught me the value of carefulconsideration and planning to solve problems. Just readingthe synopsis makes me wish I were still a child reading themfor the first time.,book
47,"I've read a lot of star wars books, and this one is one of my favorite. Stackpole puts a twist into writing as he puts it in 1st person, something most Star Wars authors won't do. Even though its written as if you've read the first 8 X-wing books, you can still follow. Stackpole does a great job, and he rebuilds my confidence in him after the disappointment of Isard's Revenge &lt;- a truly poor book.",book
48,"I will admit that I did not give this movie much of a chance. I decided pretty early on that this just wasn't my kind of movie.<br /><br />For the most part, it has an excellent look in terms of its cinematography. The scenes of early 70's Manhattan look very good, as does the lead actress. It is a very crisp black and white, which could almost make the movie feel undated and fresh. However, some of the other techniques the filmmakers employ shoot that prospect all to hell. The disjointed editing is VERY late-60's, somewhere between surrealism and new wave. The story also feels like it came from a very specific time, somewhere between free love idealism and artsy experimentation.<br /><br />The film follows a young girl around the city as she looks for a man who she had anonymous phone sex with. As she meets other odd characters, she reveals her quirks and they reveal theirs. The movie seems to be meant as an off-the-wall, irreverent comedy, but adds an avant-garde feel. I would expect that if you like Andy Warhol movies, you would be very excited to discover The Telephone Book.<br /><br />Some problems I had: Near the end of the movie, one character tells a rambling anecdote that lasts over twelve minutes-brutal to sit through. Also, there is a very explicit animation sequence that I found gross and juvenile that serves as the film's climax. I did laugh out loud four or five times, and I liked the ending (minus the flat-out disgusting animation). And when the film switched to color for the final phone-booth-at-night sequence, I actually liked the way it looked even better. It ended up being one of those experiences where I felt like I could have really liked it if it been a little different. But this is what the filmmakers gave us. It is obscure, artsy, and way left of the dial, but none of those are reasons to recommend it on their own. I didn't find it to be unique or creative so much as forced and pretentious.",movie
49,Literally one of the North Shore's best kept secrets.  The food is divine.  I have been here many times and I have never had a meal I didn't like.  The food is delicious.  My absolutely favourite thing is the Feast Fried chicken which is gluten free and delicious!!,restaurant
50,"Hands down best place to get pho in Columbus! And the fact that they actually have veggie broth shows that they are inclusive to customer's dietary restrictions, unlike many other pho restaurants. Their food is always filling and doesn't vary in taste. No wonder there's never a time they're not busy. It may come off as a hole in the wall, but I'm so glad I took a chance on checking it out over 5 years ago! If you haven't been, you are missing out! Highly recommend!",restaurant
51,"The story is similar to ET: an extraterrestrial run around on earth and tries to come back home. While its stay on our planet, it will create friendly ties with humans.<br /><br />But, unlike ET which exudes drama, comedy, poetry, this movie is only fun. It is indeed a pure Dysney production: its core audience are children & the movie is more more in the visual than in the message.<br /><br />Thus, you will find some funny scenes (the first sighting of the town, a ""cosmic"" stray toaster) and the casting is experimented, with special mentions to ""Doc"", who rejuvenates in a ""Mac Fly"" character, and to Hurley, who seems open to auto-derision.<br /><br />Ice on the cake: the main title is scored by Danny Elfman, and like every other great composer, you recognize his ""voice"" before he is even credited.",movie
52,"Finally got to try this place out! Overall it was pretty good.  It was very filling as well. We ordered 2 apps and 3 entrées. They ended up forgetting to pack sauce that was part of one of the entrées, +  one of the side items was missing. The appetizers were definitely not worth it, the tofu we got was just some small tiny pieces and the side salad we got was just some pieces of lettuce and nothing else. I was a bit disappointed with that, as I went at a time where they didn't seem very busy and my order was the only one sitting on their table to be picked up

Not sure if I will be coming back anytime soon, but if I do it will probably just be for the entrées only.",restaurant
